Nom recette;Contenu;But;Ingrédients;Utilisation;Enchantement;
L'abarbe-appât;L'abarbe-appât But. Obtenir une sucrerie alchimique, l'abarbe-appât Ingrédients. Sucre ou miel, cristaux de sève de pin. Manipulation. Il s'agit simplement de faire fondre du sucre ou du miel dans une marmite de cuivre et d'y introduire le bout d'un athanor où mijote à chèvre-mouton quelques cristaux de sève de pin... D'aucuns prétendent que la nature de la sève n'est pas importante et qu'elle ne fait que changer le goût du composé résultant. Utilisation. Cette friandise alchimique, outre un goût et une consistance toute particulière, a la faculté d'attirer instantanément les guilles. La guille est un poison dont les sucs digestifs entrent dans la composition dun remède contre la vermicelle. Note. Recette alchimique de base, elle figure bien entendue dans le grimoire de Baba qui avait l'habitude d'en préparer pour son homme lorsqu'il allait à la pêche.;Obtenir une sucrerie alchimique, l'abarbe-appât; Sucre ou miel, cristaux de sève de pin. Manipulation. Il s'agit simplement de faire fondre du sucre ou du miel dans une marmite de cuivre et d'y introduire le bout d'un athanor où mijote à chèvre-mouton quelques cristaux de sève de pin... D'aucuns prétendent que la nature de la sève n'est pas importante et qu'elle ne fait que changer le goût du composé résultant;Cette friandise alchimique, outre un goût et une consistance toute particulière, a la faculté d'attirer instantanément les guilles. La guille est un poison dont les sucs digestifs entrent dans la composition dun remède contre la vermicelle. Note. Recette alchimique de base, elle figure bien entendue dans le grimoire de Baba qui avait l'habitude d'en préparer pour son homme lorsqu'il allait à la pêche.;;
L'Alcimoine;L'Alcimoine (poison ingestif) But. Obtenir une écaille d'alcimoine. Ingrédients. 12 fleurs d'alcimoine (fleur des marais), 7 brins de névropenthe, 2 mesures d'eau alchimiquement simple, 12 pépins de boralm, 1 demi mesure de lait de mammifère. Temps de préparation. 70 minutes, puis 1 à 2 heures de repos. Manipulation. Cueillir une douzaine d'alcimoines, en enlever les pétales et les réserver. Malaxer le reste des fleurs (pistils, étamines et coeur) avec 7 brins de névropenthe jusqu'à consistance cheval-mouton. Faire chauffer l'eau alchimiquement simple jusqu'à température bleu-bleu. Y jeter les pétales des alcimoines et continuer à chauffer jusqu'à température pourpre-pourpre. Y incorporer délicatement la pommade et chauffer encore à température rouge-rouge, ajouter 12 pépins de boralm et finir de chauffer jusqu'à température gris-gris. Tirer hors du feu et filtrer la préparation. Récupérer le résidu du filtre et le mélanger avec du lait de mammifère jusqu'à obtenir la consistance renard- serpent. Faire sécher la préparation obtenue à l'abri de toute lumière. Si la poudre obtenue est brune, c'est de l'alcimoine, sinon c'est bon à jeter au fumier. Utilisation. L'alcimoine est une poudre brune au goût amer assez semblable à celui du café. Dissoute dans une boisson ou saupoudrée sur un aliment, elle est facilement repérable (détection +2). Par contre, incorporée à la préparation d'un met, elle est quasiment indétectable (détection -8). Une dose fait 50 brins (1/2 écaille). alcimoine Malignité 9 Détection +2/-8 Périodicité 1 minute Dommages Perte de 3 points de vie, de 2 points de DEXTERITE et de 1 point d'ODORAT- GOUT, insensibilité, engourdissement, perte du goût et de l'odorat Remèdes -6 / Elixir des gnomes +15, tanemiel doré +10, tanemiel +8, huile de Sélikante +6, gelée royale +3 Source;Obtenir une écaille d'alcimoine.;12 fleurs d'alcimoine (fleur des marais), 7 brins de névropenthe, 2 mesures d'eau alchimiquement simple, 12 pépins de boralm, 1 demi mesure de lait de mammifère. Temps de préparation. 70 minutes, puis 1 à 2 heures de repos. Manipulation. Cueillir une douzaine d'alcimoines, en enlever les pétales et les réserver. Malaxer le reste des fleurs (pistils, étamines et coeur) avec 7 brins de névropenthe jusqu'à consistance cheval-mouton. Faire chauffer l'eau alchimiquement simple jusqu'à température bleu-bleu. Y jeter les pétales des alcimoines et continuer à chauffer jusqu'à température pourpre-pourpre. Y incorporer délicatement la pommade et chauffer encore à température rouge-rouge, ajouter 12 pépins de boralm et finir de chauffer jusqu'à température gris-gris. Tirer hors du feu et filtrer la préparation. Récupérer le résidu du filtre et le mélanger avec du lait de mammifère jusqu'à obtenir la consistance renard- serpent. Faire sécher la préparation obtenue à l'abri de toute lumière. Si la poudre obtenue est brune, c'est de l'alcimoine, sinon c'est bon à jeter au fumier.;L'alcimoine est une poudre brune au goût amer assez semblable à celui du café. Dissoute dans une boisson ou saupoudrée sur un aliment, elle est facilement repérable (détection +2). Par contre, incorporée à la préparation d'un met, elle est quasiment indétectable (détection -8). Une dose fait 50 brins (1/2 écaille). alcimoine Malignité 9 Détection +2/-8 Périodicité 1 minute Dommages Perte de 3 points de vie, de 2 points de DEXTERITE et de 1 point d'ODORAT- GOUT, insensibilité, engourdissement, perte du goût et de l'odorat Remèdes -6 / Elixir des gnomes +15, tanemiel doré +10, tanemiel +8, huile de Sélikante +6, gelée royale +3 Source;;
Ambra Solaris;"Ambra Solaris (Crème solaire) But. Protéger du soleil, permettre de bien bronzer pour avoir une belle apparence de Voyageur basané. Ingrédients. 7 graines de tournesol, un bout de peau de Zombrel (Livre 3, p. 55), 2 pépins de boralm et une amandelle (Livre 3, p. 24), de l'eau Alchimiquement Simple. Manipulation. Broyer les graines de tournesol avec l'amandelle et incorporer les pépins de Boralm jusqu'à consistance Mouton-Hibou-Renard (Dextérité/Alchimie à - 3), puis recouvrir le tout de la peau de zombrel et attendre une heure. Ajouter ensuite de l'eau Alchimiquement Simple en quantité désirée. Ça doit donner une crème blanche à
l'odeur d'amande, de même volume que l'eau AS. Le bout de peau de Zombrel est réutilisable. Utilisation. Frotter onctueusement son corps sur les parties exposées au soleil. Vous résisterez mieux au soleil et bronzerez harmonieusement (autrement dit, le Gardien des Rêves ne va pas vous ennuyer quand vous traversez un désert en cuisant doucement). Note. Cette crème ne guérit pas des brûlures déjà occasionnées et ne protège pas des effets de la chaleur (déshydratation, etc.), juste des rayons du soleil. Enchantement. Non enchantable Source";Protéger du soleil, permettre de bien bronzer pour avoir une belle apparence de Voyageur basané.;"7 graines de tournesol, un bout de peau de Zombrel (Livre 3, p. 55), 2 pépins de boralm et une amandelle (Livre 3, p. 24), de l'eau Alchimiquement Simple. Manipulation. Broyer les graines de tournesol avec l'amandelle et incorporer les pépins de Boralm jusqu'à consistance Mouton-Hibou-Renard (Dextérité/Alchimie à - 3), puis recouvrir le tout de la peau de zombrel et attendre une heure. Ajouter ensuite de l'eau Alchimiquement Simple en quantité désirée. Ça doit donner une crème blanche à
l'odeur d'amande, de même volume que l'eau AS. Le bout de peau de Zombrel est réutilisable.";Frotter onctueusement son corps sur les parties exposées au soleil. Vous résisterez mieux au soleil et bronzerez harmonieusement (autrement dit, le Gardien des Rêves ne va pas vous ennuyer quand vous traversez un désert en cuisant doucement). Note. Cette crème ne guérit pas des brûlures déjà occasionnées et ne protège pas des effets de la chaleur (déshydratation, etc.), juste des rayons du soleil.;Non enchantable Source;
Philtre d'amour;Philtre d'amour But. Rendre fol amoureux de la première personne contemplée. Ingrédients. 3 écailles de pétales de rose, une demi- mesure de miel, un rouge-gorge, un petit bout de parchemin avec un poème d'amour (qualité variable), 4 pépins de Nartha, 3 brins de satum, une mesure d'eau Alchimiquement Simple. Manipulation. Mélanger le miel et l'eau Alchimiquement Simple jusqu'à avoir un liquide épais (Dext/Alchimie à 0). Egorger le rouge-gorge et faire goutter son sang dans la potion. Chauffer jusqu'à couleur Sangue-Sangue (Vue/Alchimie à -1). Jeter les pétales de rose et touiller longuement, puis verser les pépins de Nartha pour obtenir une consistance Serpent-Chèvre-Renard (Dext/Alc himie à- 3). Lire le poème à haute voix en y mettant du c ur et le jeter dans le philtre. Ajouter alors grain par grain les brins de satum pour arriver à une couleur changeante, fugace comme un coup de foudre (Vue/Alchimie avec pour difficulté 7- Qualité du poème). Laisser refroidir. Il doit rester une demi- mesure d'un liquide épais rose et sucré (il paraît). Utilisation. Faire boire (ou absorber en même temps que de la nourriture) l'ensemble du philtre par une même personne. Elle tombera alors amoureuse folle de la première personne du sexe opposé sur laquelle elle posera les yeux (fonctionne un peu comme la Queue de Coup de Foudre). En termes de jeu, la victime a tout d'un coup 4 points de ur pour son élu et ne peut en perdre avant 12 heures. Si elle avait déjà des points de c ur pour quelqu'un d'autre, ils sont perdus selon la règle normale (perte de points de moral) et l'amour nouveau commence tristement... Enchantement. Non enchantable. Source;Rendre fol amoureux de la première personne contemplée.;3 écailles de pétales de rose, une demi- mesure de miel, un rouge-gorge, un petit bout de parchemin avec un poème d'amour (qualité variable), 4 pépins de Nartha, 3 brins de satum, une mesure d'eau Alchimiquement Simple. Manipulation. Mélanger le miel et l'eau Alchimiquement Simple jusqu'à avoir un liquide épais (Dext/Alchimie à 0). Egorger le rouge-gorge et faire goutter son sang dans la potion. Chauffer jusqu'à couleur Sangue-Sangue (Vue/Alchimie à -1). Jeter les pétales de rose et touiller longuement, puis verser les pépins de Nartha pour obtenir une consistance Serpent-Chèvre-Renard (Dext/Alc himie à- 3). Lire le poème à haute voix en y mettant du c ur et le jeter dans le philtre. Ajouter alors grain par grain les brins de satum pour arriver à une couleur changeante, fugace comme un coup de foudre (Vue/Alchimie avec pour difficulté 7- Qualité du poème). Laisser refroidir. Il doit rester une demi- mesure d'un liquide épais rose et sucré (il paraît).;Faire boire (ou absorber en même temps que de la nourriture) l'ensemble du philtre par une même personne. Elle tombera alors amoureuse folle de la première personne du sexe opposé sur laquelle elle posera les yeux (fonctionne un peu comme la Queue de Coup de Foudre). En termes de jeu, la victime a tout d'un coup 4 points de ur pour son élu et ne peut en perdre avant 12 heures. Si elle avait déjà des points de c ur pour quelqu'un d'autre, ils sont perdus selon la règle normale (perte de points de moral) et l'amour nouveau commence tristement...;Non enchantable. Source;
L'Aoutchouc;"L'Aoutchouc But. Fabriquer une pâte caoutchouteuse Ingrédients pour 1 pinte : 2 pintes d'Huile de Pierre (cf. ""Du Voyage et Des Voyageurs""), 1 pinte d'eau alchimiquement simple, 8 pépins d'obyssum gris, 3 doigts de bave de crapaud Manipulation. Faire chauffer doucement l'Huile de Pierre en intégrant les 8 pépins d'obyssum gris. Attendre que le mélange soit à couleur Glauque (0). Laisser refroidir 30 minutes, cracher trois molards dans la mixture, et quand le mélange se met à fumer, incorporer rapidement les 3 doigts de bave de crapaud et la pinte d'eau alchimiquement simple. Mélanger doucement jusqu'à consistance Mouton (0). La pâte obtenue permet de fabriquer des objets en Aoutchouc : celui ci est très léger, incassable, résistant à l'étirement, bref un parfait caoutchouc. Utilisation. On peut avantageusement fabriquer des fioles. Imaginez un peu : pas d'encombrement, incassable ! Fini les potions enchantées qui se cassent au mauvais moment ! Fini la peur de jeter son sac à dos du haut d'une falaise ! Bref, au maître de jeu de gérer l'éventuelle fabrication d'objets, en utilisant Bricolage et les points de tâche. Ainsi, par exemple, fabriquer une fiole en Aoutchouc pourrait demander - en sus d'un chaudron, d'un feu et d'ustensiles de verriers - 6 points de tâche, périodicité 5 minutes, difficulté -4. A noter que la pinte produite par la recette permet de fabriquer 2 fioles, ou 1 bouteille d'1 litre. Source";"Fabriquer une pâte caoutchouteuse Ingrédients pour 1 pinte : 2 pintes d'Huile de Pierre (cf. ""Du Voyage et Des Voyageurs""), 1 pinte d'eau alchimiquement simple, 8 pépins d'obyssum gris, 3 doigts de bave de crapaud Manipulation. Faire chauffer doucement l'Huile de Pierre en intégrant les 8 pépins d'obyssum gris. Attendre que le mélange soit à couleur Glauque (0). Laisser refroidir 30 minutes, cracher trois molards dans la mixture, et quand le mélange se met à fumer, incorporer rapidement les 3 doigts de bave de crapaud et la pinte d'eau alchimiquement simple. Mélanger doucement jusqu'à consistance Mouton (0). La pâte obtenue permet de fabriquer des objets en Aoutchouc : celui ci est très léger, incassable, résistant à l'étirement, bref un parfait caoutchouc.";;On peut avantageusement fabriquer des fioles. Imaginez un peu : pas d'encombrement, incassable ! Fini les potions enchantées qui se cassent au mauvais moment ! Fini la peur de jeter son sac à dos du haut d'une falaise ! Bref, au maître de jeu de gérer l'éventuelle fabrication d'objets, en utilisant Bricolage et les points de tâche. Ainsi, par exemple, fabriquer une fiole en Aoutchouc pourrait demander - en sus d'un chaudron, d'un feu et d'ustensiles de verriers - 6 points de tâche, périodicité 5 minutes, difficulté -4. A noter que la pinte produite par la recette permet de fabriquer 2 fioles, ou 1 bouteille d'1 litre. Source;;
L'Arablue, Liqueur de Pardon;L'Arablue, Liqueur de Pardon (poison ingestif) But. Obtenir un brin d'arablue, aussi appelée Liqueur de Pardon. Ingrédients. Le venin d'une araignée bleue, 1 pépin d'obbadion. Temps de préparation. 20 minutes puis 2 à 4 heures d'évaporation. Manipulation. Prélever délicatement le venin d'une araignée bleue. En mouiller un pépin d'obbadion dans un mortier. Ecraser avec un pilon jusqu'à consistance hibou- chèvre. Laisser sécher au soleil. La poudre obtenue doit être bleue pâle. Si elle est bleue foncée, la préparation a échoué. Pour récolter le venin il faut réussir un jet de Dex/Chirurgie à -2. En cas d'échec, la dose prélevée est infime. Si un échec total survient, le personnage s'est empoisonné. Utilisation. L'arablue peut être dissoute dans une boisson ou une sauce, ou être incorporée à la préparation d'un plat. Elle n'a absolument aucun goût et est difficile à détecter (détection -7). Une dose fait 1 pépin. arablue Malignité 9 Détection -7 Périodicité 3 rounds Dommages Perte de 9 points de vie au premier échec, puis perte de 1 point de vie aux suivants, fièvre, vertiges et grande faiblesse Remèdes -9 / Tanemiel doré +10, tanemiel +8, liqueur de Bagdol +6 Source;Obtenir un brin d'arablue, aussi appelée Liqueur de Pardon.;Le venin d'une araignée bleue, 1 pépin d'obbadion. Temps de préparation. 20 minutes puis 2 à 4 heures d'évaporation. Manipulation. Prélever délicatement le venin d'une araignée bleue. En mouiller un pépin d'obbadion dans un mortier. Ecraser avec un pilon jusqu'à consistance hibou- chèvre. Laisser sécher au soleil. La poudre obtenue doit être bleue pâle. Si elle est bleue foncée, la préparation a échoué. Pour récolter le venin il faut réussir un jet de Dex/Chirurgie à -2. En cas d'échec, la dose prélevée est infime. Si un échec total survient, le personnage s'est empoisonné.;L'arablue peut être dissoute dans une boisson ou une sauce, ou être incorporée à la préparation d'un plat. Elle n'a absolument aucun goût et est difficile à détecter (détection -7). Une dose fait 1 pépin. arablue Malignité 9 Détection -7 Périodicité 3 rounds Dommages Perte de 9 points de vie au premier échec, puis perte de 1 point de vie aux suivants, fièvre, vertiges et grande faiblesse Remèdes -9 / Tanemiel doré +10, tanemiel +8, liqueur de Bagdol +6 Source;;
L'arachnaire;L'arachnaire (venin de lame) But. Obtenir 1 demi mesure d'arachnaire. Ingrédients. Le venin d'une araignée rouge, 15 pépins d'obbadion, 15 brins de satum, 1 mesure d'eau alchimiquement simple. Temps de préparation. 40 minutes. Manipulation. Capturer sans se faire piquer une araignée rouge et prélever proprement son venin. Mélanger ce venin avec de l'obbadion et du satum jusqu'à la consistance lapin- lapin. Faire chauffer une mesure d'eau alchimiquement simple jusqu'à température pourpre-pourpre. Y jeter soudainement la préparation et laisser réduire de moitié. Le liquide obtenu, légèrement visqueux, doit être rosé. S'il est transparent, la préparation a flanché. Prélever proprement le venin de l'araignée nécessite la réussite d'un jet de DEXTERITE/Chirurgie à -5. Utilisation. L'arachnaire a les caractéristiques suivantes : arachnaire Malignité 4 Périodicité 1 minute Dommages Perte de 2 points de vie, éruption de plaques rouges autour de la blessure et inflammation Remèdes -4 / Liqueur de Bagdol +13, topazoïne +8, sable-poudre +5 1ère Source;Obtenir 1 demi mesure d'arachnaire.;Le venin d'une araignée rouge, 15 pépins d'obbadion, 15 brins de satum, 1 mesure d'eau alchimiquement simple. Temps de préparation. 40 minutes. Manipulation. Capturer sans se faire piquer une araignée rouge et prélever proprement son venin. Mélanger ce venin avec de l'obbadion et du satum jusqu'à la consistance lapin- lapin. Faire chauffer une mesure d'eau alchimiquement simple jusqu'à température pourpre-pourpre. Y jeter soudainement la préparation et laisser réduire de moitié. Le liquide obtenu, légèrement visqueux, doit être rosé. S'il est transparent, la préparation a flanché. Prélever proprement le venin de l'araignée nécessite la réussite d'un jet de DEXTERITE/Chirurgie à -5.;L'arachnaire a les caractéristiques suivantes : arachnaire Malignité 4 Périodicité 1 minute Dommages Perte de 2 points de vie, éruption de plaques rouges autour de la blessure et inflammation Remèdes -4 / Liqueur de Bagdol +13, topazoïne +8, sable-poudre +5 1ère Source;;
Le bain de fraîcheur;Le bain de fraîcheur (remède) But. Préparer le remède à la déconfiture osseuse rampante. Ingrédients. 5 feuilles de trèfle frais par litre d'eau, 1 cuillère draconique de poudre de Rougeades fleuries par décalitre, 1 pied entier de menthe verte poivrée pour chaque tranche de 10 kilos que pèse le malade, et 1 sucre de Dragon jaune-bleu (préparation alchimique intermédiaire) pour chaque bain. Manipulation. Mélanger le tout dans une petite baignoire sur mesure en Groyer et compléter avec leau. Une base de 50 litres deau pour une personne de taille moyenne (entre 9 et 11) sera nécessaire. Utilisation. L'eau doit être à température fumante (environ 45 degrés) pendant toute la durée du bain. Les membres et le tronc doivent rester immergés 24 Constitution + points de Vie manquants heures draconiques. Source;Préparer le remède à la déconfiture osseuse rampante.;5 feuilles de trèfle frais par litre d'eau, 1 cuillère draconique de poudre de Rougeades fleuries par décalitre, 1 pied entier de menthe verte poivrée pour chaque tranche de 10 kilos que pèse le malade, et 1 sucre de Dragon jaune-bleu (préparation alchimique intermédiaire) pour chaque bain. Manipulation. Mélanger le tout dans une petite baignoire sur mesure en Groyer et compléter avec leau. Une base de 50 litres deau pour une personne de taille moyenne (entre 9 et 11) sera nécessaire.;L'eau doit être à température fumante (environ 45 degrés) pendant toute la durée du bain. Les membres et le tronc doivent rester immergés 24 Constitution + points de Vie manquants heures draconiques. Source;;
Barbe à dragon;Barbe à dragon But. C'est rose, c'est sucré et c'est très bon. Pour la plus grande joie des petits et des grands. Ingrédients. Une belle trésure, un poil de poilute (Livre 3, p. 56), une grosse veloute, 3 écailles de sucre. Manipulation. Mélanger la trésure et la veloute en malaxant bien pour avoir une consistance Lapin (Dextérité/Alchimie à 0). Ajouter le sucre en continuant de remuer vigoureusement. Il faut atteindre une consistance Lapin-Lapin (Dextérité/Alchimie à -1). Ajouter alors le poil de poilute et chauffer doucement jusqu'à couleur Rose (Vue/Alchimie à -2, c'est du Sangue-Gris). Ca va commencer à faire de longs filaments sucrés qu'il faut récolter au fur et à mesure qu'ils apparaissent. Les ingrédients donnés produisent une écaille de barbe, ce qui fait beaucoup de barbe... Utilisation. A manger avec les doigts, planté sur un bout de bois en s'en mettant partout. Un jet de moral en situation heureuse est recommandé et un segment de fatigue disparaît au cours de la dégustation (merci la trésure). Note. Tous les sages s'accordent pour dire que c'est très bon, mais que les Dragons n'ont jamais eu ça comme barbe... Mais certaines légendes... Enchantement. Non enchantable. Source;C'est rose, c'est sucré et c'est très bon. Pour la plus grande joie des petits et des grands.;Une belle trésure, un poil de poilute (Livre 3, p. 56), une grosse veloute, 3 écailles de sucre. Manipulation. Mélanger la trésure et la veloute en malaxant bien pour avoir une consistance Lapin (Dextérité/Alchimie à 0). Ajouter le sucre en continuant de remuer vigoureusement. Il faut atteindre une consistance Lapin-Lapin (Dextérité/Alchimie à -1). Ajouter alors le poil de poilute et chauffer doucement jusqu'à couleur Rose (Vue/Alchimie à -2, c'est du Sangue-Gris). Ca va commencer à faire de longs filaments sucrés qu'il faut récolter au fur et à mesure qu'ils apparaissent. Les ingrédients donnés produisent une écaille de barbe, ce qui fait beaucoup de barbe...;A manger avec les doigts, planté sur un bout de bois en s'en mettant partout. Un jet de moral en situation heureuse est recommandé et un segment de fatigue disparaît au cours de la dégustation (merci la trésure). Note. Tous les sages s'accordent pour dire que c'est très bon, mais que les Dragons n'ont jamais eu ça comme barbe... Mais certaines légendes...;Non enchantable. Source;
Base de peinture de Leonardo;Base de peinture de Leonardo But. Fabriquer 5 écailles de peinture magique qui ne perd pas ses couleurs. Ingrédients. 2 brins de Satum, 5 pépins de boralm, 1 écaille de crête de glou broyée ou 1 écaille de graines darbre Ico géant, 3 brins de bave de Collopendre. 1 Mesure deau alchimiquement pure. Manipulation. Mettez dans un petit chaudron le boralm et le satum. Laisser chauffer jusquà couleur Brun-Gris (Vue   2). Incorporer doucement de leau en mélangeant jusquà obtenir une consistance Chèvre-lapin-mouton (Dex 3). Ajouter la crête de glou ou la graine darbre Ico et chauffer   de nouveau jusquà couleur Bleu-Sangue (Vue 2). Laisser refroidir une heure. Mélanger la bave de Collopendre et chauffer brièvement jusquà couleur Glauque-Glauque (Vue 1). Si le mélange a une consistance onctueuse et une teinte blanche la manipulation a réussie. Si au contraire il   assombrit et durcit brutalement, il ny a plus quà recommencer. Utilisation. Pour la coloration, mélanger le colorant fabriqué séparément à la base de peinture. Puis laisser la lumière de la lune baigner le mélange. Source;Fabriquer 5 écailles de peinture magique qui ne perd pas ses couleurs.;2 brins de Satum, 5 pépins de boralm, 1 écaille de crête de glou broyée ou 1 écaille de graines darbre Ico géant, 3 brins de bave de Collopendre. 1 Mesure deau alchimiquement pure. Manipulation. Mettez dans un petit chaudron le boralm et le satum. Laisser chauffer jusquà couleur Brun-Gris (Vue   2). Incorporer doucement de leau en mélangeant jusquà obtenir une consistance Chèvre-lapin-mouton (Dex 3). Ajouter la crête de glou ou la graine darbre Ico et chauffer   de nouveau jusquà couleur Bleu-Sangue (Vue 2). Laisser refroidir une heure. Mélanger la bave de Collopendre et chauffer brièvement jusquà couleur Glauque-Glauque (Vue 1). Si le mélange a une consistance onctueuse et une teinte blanche la manipulation a réussie. Si au contraire il   assombrit et durcit brutalement, il ny a plus quà recommencer.;Pour la coloration, mélanger le colorant fabriqué séparément à la base de peinture. Puis laisser la lumière de la lune baigner le mélange. Source;;
